Fejltype;Forkert stregkode;Korrekt stregkode 1; Korrekt stregkode 2;...
erstat;5710441288190;5710441350521
erstat;5710441288206;5710441350545
erstat;5710441288213;5710441350552
erstat;5710441315735;5710441350590
erstat;5710441288282;5710441350569
erstat;5710441288299;5710441350583
erstat;5710441288305;5710441350408
erstat;5710441315971;5710441350439
erstat;5710441288312;5710441350415
erstat;5710441288329;5710441350422
erstat;5710441288336;5710441350446
erstat;5710441316091;5710441350477
erstat;5710441288220;5710441350453
erstat;5710441288237;5710441350460
erstat;5710441288244;5710441350484
erstat;5710441315810;5710441350491
erstat;5710441288251;5710441350507
erstat;5710441288268;5710441350514
erstat;5710441288275;5710441350538
erstat;5710441315933;5710441350576
erstat;5610441290608;5710441350613
erstat;5610441290615;5710441350620
erstat;5610441290622;5710441350637
erstat;5710441330080;5710441350606
erstat;5710441288046;5710441350736
erstat;5710441288053;5710441350750
erstat;5710441288060;5710441350644
erstat;5710441329480;5710441350675
erstat;5710441288169;5710441350651
erstat;5710441288176;5710441350668
erstat;5710441288183;5710441350682
erstat;5710441329497;5710441350699
erstat;5710441288138;5710441350705
erstat;5710441288145;5710441350712
erstat;5710441288152;5710441350729
erstat;5710441329503;5710441350743
erstat;5610441290578;5710441350859
erstat;5610441290585;5710441350866
erstat;5610441290592;5710441350873
erstat;5710441329510;5710441350842
erstat;5710441288107;5710441350781
erstat;5710441288114;5710441350804
erstat;5710441288121;5710441350828
erstat;5710441329527;5710441350767
erstat;5710441288077;5710441350798
erstat;5710441288084;5710441350811
erstat;5710441288091;5710441350835
erstat;5710441329534;5710441350774
erstat;5710441340683;5710441350965
erstat;5710441340713;5710441351016
erstat;5710441340744;5710441351061
erstat;5710441340812;5710441351115
erstat;5710441340768;5710441350989
erstat;5710441340799;5710441351030
erstat;5710441340508;5710441351085
erstat;5710441340539;5710441351139
erstat;5710441340515;5710441350996
erstat;5710441340522;5710441351047
erstat;5710441340560;5710441351092
erstat;5710441340614;5710441351146
erstat;5710441340645;5710441351009
erstat;5710441340676;5710441351054
erstat;5710441340706;5710441351108
erstat;5710441340775;5710441351153
erstat;5710441340959;5710441350972
erstat;5710441340966;5710441351023
erstat;5710441340973;5710441351078
erstat;5710441340942;5710441351122
erstat;5710441340843;5710441350880
erstat;5710441340867;5710441350903
erstat;5710441340881;5710441350927
erstat;5710441340829;5710441350941
erstat;5710441340850;5710441350897
erstat;5710441340874;5710441350910
erstat;5710441340898;5710441350934
# erstat;5710441340836;5710441350958
flere;5710441340836;5710441350958;5710441350934;5710441350910
flere;5710441350958;5710441350934;5710441350910

